구분,Report No,S/No,Identification No,Joint No,JHC 행,Status 행,JHC Film,Status Film,차이/비고
값 불일치,SIT-K1-JHC-PIP-RT-0096,2,P3AN-PW-2045304-01,8,45,1672,,,"{""ident"": {""jhc"": ""P3AN-PW-2045304-01"", ""status"": ""P3AN-MPS-7421310-01""}, ""joint"": {""jhc"": ""8"", ""status"": ""6""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4101""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,3,P3AN-PW-2045307-01,6,46,1673,,,"{""ident"": {""jhc"": ""P3AN-PW-2045307-01"", ""status"": ""P3AN-PW-2041307-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""5""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4004""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,4,P3AN-PW-2045301-01,8,47,1674,,,"{""ident"": {""jhc"": ""P3AN-PW-2045301-01"", ""status"": ""P3AN-PW-2041308-01""}, ""joint"": {""jhc"": ""8"", ""status"": ""5""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,5,PSWN-CHWS-7361033-01,1,48,1675,,,"{""ident"": {""jhc"": ""PSWN-CHWS-7361033-01"", ""status"": ""P3AN-PW-2045301-01""}, ""joint"": {""jhc"": ""1"", ""status"": ""8""}, ""size"": {""jhc"": ""6"", ""status"": ""2""}, ""thk"": {""jhc"": ""7.11"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,6,P3AN-PW-2041307-01,5,49,1676,,,"{""ident"": {""jhc"": ""P3AN-PW-2041307-01"", ""status"": ""P3AN-PW-2045302-01""}, ""joint"": {""jhc"": ""5"", ""status"": ""8""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4004"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,7,P3RN-CHWS-7311032-01,2,50,1677,,,"{""ident"": {""jhc"": ""P3RN-CHWS-7311032-01"", ""status"": ""P3AN-PW-2045303-01""}, ""joint"": {""jhc"": ""2"", ""status"": ""8""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4082"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,8,P3AN-PW-2045302-01,,51,1678,,,"{""ident"": {""jhc"": ""P3AN-PW-2045302-01"", ""status"": ""P3AN-PW-2045304-01""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0096,9,P3RN-IA-7711030-01,7,52,1679,,,"{""ident"": {""jhc"": ""P3RN-IA-7711030-01"", ""status"": ""P3AN-PW-2045305-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""5""}, ""size"": {""jhc"": ""3"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4002""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0098,7,,,83,1710,,,"{""matl"": {""jhc"": ""S/S"", ""status"": ""C/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,1,P3RN-MPS-7421032-01,7,102,1729,,,"{""ident"": {""jhc"": ""P3RN-MPS-7421032-01"", ""status"": ""P1AN-CHWS-7311115-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""10""}, ""size"": {""jhc"": ""2"", ""status"": ""1.5""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""5.08""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4005"", ""status"": ""4114""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,10,P4AN-WTS-2092008-02,,111,1738,,,"{""ident"": {""jhc"": ""P4AN-WTS-2092008-02"", ""status"": ""P4AN-WTS-2092010-03""}, ""size"": {""jhc"": ""4"", ""status"": ""2.5""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4001"", ""status"": ""4004""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,11,,,112,1739,,,"{""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,12,P4AN-WTR-2071001-01,16,113,1740,,,"{""ident"": {""jhc"": ""P4AN-WTR-2071001-01"", ""status"": ""P5AN-CHWR-2033401-01""}, ""joint"": {""jhc"": ""16"", ""status"": ""7""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""6.02""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,13,P1AN-FPW-3211103-01,1,114,1741,,,"{""ident"": {""jhc"": ""P1AN-FPW-3211103-01"", ""status"": ""P5RN-CHWR-7311053-51""}, ""joint"": {""jhc"": ""1"", ""status"": ""10""}, ""size"": {""jhc"": ""1.5"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.68"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4117"", ""status"": ""4136""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,14,P1AN-FPW-3411103-01,1,115,1742,,,"{""ident"": {""jhc"": ""P1AN-FPW-3411103-01"", ""status"": ""P5RN-POW-7111052-02""}, ""joint"": {""jhc"": ""1"", ""status"": ""9""}, ""size"": {""jhc"": ""1.5"", ""status"": ""3""}, ""thk"": {""jhc"": ""3.68"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4102"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,15,,,116,1743,,,"{""matl"": {""jhc"": """", ""status"": ""C/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,16,P5AN-CHWR-2033401-01,7,117,1744,,,"{""ident"": {""jhc"": ""P5AN-CHWR-2033401-01"", ""status"": ""PSWN-POW-7111040-02""}, ""joint"": {""jhc"": ""7"", ""status"": ""15""}, ""thk"": {""jhc"": ""6.02"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4004""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,2,P4AN-WTS-2092010-03,3,103,1730,,,"{""ident"": {""jhc"": ""P4AN-WTS-2092010-03"", ""status"": ""P1AN-FPW-3211103-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""1""}, ""size"": {""jhc"": ""2.5"", ""status"": ""1.5""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""3.68""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4004"", ""status"": ""4117""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,3,P3RN-MPS-7421041-01,8,104,1731,,,"{""ident"": {""jhc"": ""P3RN-MPS-7421041-01"", ""status"": ""P1AN-FPW-3411103-01""}, ""joint"": {""jhc"": ""8"", ""status"": ""1""}, ""size"": {""jhc"": ""2"", ""status"": ""1.5""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""3.68""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4008"", ""status"": ""4102""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,4,P1AN-CHWS-7311115-01,10,105,1732,,,"{""ident"": {""jhc"": ""P1AN-CHWS-7311115-01"", ""status"": ""P1AN-PW-3111104-01""}, ""joint"": {""jhc"": ""10"", ""status"": ""7""}, ""size"": {""jhc"": ""1.5"", ""status"": ""2.5""}, ""thk"": {""jhc"": ""5.08"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4114"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,5,P1AN-PW-3111104-01,7,106,1733,,,"{""ident"": {""jhc"": ""P1AN-PW-3111104-01"", ""status"": ""P3AN-MPS-7421310-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""13""}, ""size"": {""jhc"": ""2.5"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4092""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,6,P5RN-CHWR-7311053-51,10,107,1734,,,"{""ident"": {""jhc"": ""P5RN-CHWR-7311053-51"", ""status"": ""P3RN-MPS-7421032-01""}, ""joint"": {""jhc"": ""10"", ""status"": ""7""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4136"", ""status"": ""4005""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,7,P3AN-MPS-7421310-01,13,108,1735,,,"{""ident"": {""jhc"": ""P3AN-MPS-7421310-01"", ""status"": ""P3RN-MPS-7421041-01""}, ""joint"": {""jhc"": ""13"", ""status"": ""8""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4092"", ""status"": ""4008""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,8,PSWN-POW-7111040-02,15,109,1736,,,"{""ident"": {""jhc"": ""PSWN-POW-7111040-02"", ""status"": ""P4AN-WTR-2071001-01""}, ""joint"": {""jhc"": ""15"", ""status"": ""16""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4004"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0100,9,P5RN-POW-7111052-02,9,110,1737,,,"{""ident"": {""jhc"": ""P5RN-POW-7111052-02"", ""status"": ""P4AN-WTS-2092008-02""}, ""joint"": {""jhc"": ""9"", ""status"": ""3""}, ""size"": {""jhc"": ""3"", ""status"": ""4""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4001""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,1,P4AN-FPW-8452058-01,6,124,1751,,,"{""ident"": {""jhc"": ""P4AN-FPW-8452058-01"", ""status"": ""P1AN-MPS-7421110-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""5""}, ""size"": {""jhc"": ""2"", ""status"": ""1.5""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""5.08""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4054""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,10,P4AN-FPW-8452058-02,6,133,1760,,,"{""ident"": {""jhc"": ""P4AN-FPW-8452058-02"", ""status"": ""P3RN-FPW-9102404-51""}, ""joint"": {""jhc"": ""6"", ""status"": ""4""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4068""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,11,P4AN-WTS-2091001-01,,134,1761,,,"{""ident"": {""jhc"": ""P4AN-WTS-2091001-01"", ""status"": ""P3RN-FPW-9102406-51""}, ""size"": {""jhc"": ""3"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,12,P4AN-FPW-8452056-01,9,135,1762,,,"{""ident"": {""jhc"": ""P4AN-FPW-8452056-01"", ""status"": ""P3RN-FPW-9102407-51""}, ""joint"": {""jhc"": ""9"", ""status"": ""12""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,13,P4AN-FPW-8452054-01,13,136,1763,,,"{""ident"": {""jhc"": ""P4AN-FPW-8452054-01"", ""status"": ""P3RN-FPW-9102408-51""}, ""joint"": {""jhc"": ""13"", ""status"": ""14""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,14,PSWN-FPW-9102030-01,2,137,1764,,,"{""ident"": {""jhc"": ""PSWN-FPW-9102030-01"", ""status"": ""P3RN-FPW-9102409-51""}, ""joint"": {""jhc"": ""2"", ""status"": ""9""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4010"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,15,P3RN-FPW-9102403-51,7,138,1765,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102403-51"", ""status"": ""P4AN-FPW-8452053-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""11""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4068"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,16,P4AN-FPW-8452053-01,11,139,1766,,,"{""ident"": {""jhc"": ""P4AN-FPW-8452053-01"", ""status"": ""P4AN-FPW-8452054-01""}, ""joint"": {""jhc"": ""11"", ""status"": ""13""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,17,P3RN-FPW-9102402-51,4,140,1767,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102402-51"", ""status"": ""P4AN-FPW-8452055-01""}, ""joint"": {""jhc"": ""4"", ""status"": ""9""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,18,P3RN-CC-8541050-02,6,141,1768,,,"{""ident"": {""jhc"": ""P3RN-CC-8541050-02"", ""status"": ""P4AN-FPW-8452056-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""9""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,19,P4RN-FPW-9102042-01,9,142,1769,,,"{""ident"": {""jhc"": ""P4RN-FPW-9102042-01"", ""status"": ""P4AN-FPW-8452057-01""}, ""joint"": {""jhc"": ""9"", ""status"": ""10""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4060"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,2,P3RN-FPW-9102043-51,,125,1752,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102043-51"", ""status"": ""P1RN-FPW-9102212-02""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4106""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,20,P2AN-FPW-6013301-01,19,143,1770,,,"{""ident"": {""jhc"": ""P2AN-FPW-6013301-01"", ""status"": ""P4AN-FPW-8452058-01""}, ""joint"": {""jhc"": ""19"", ""status"": ""6""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,21,P3RN-FPW-9102407-51,12,144,1771,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102407-51"", ""status"": ""P4AN-FPW-8452058-02""}, ""joint"": {""jhc"": ""12"", ""status"": ""6""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4075""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,22,PSWN-CC-8541050-01,9,145,1772,,,"{""ident"": {""jhc"": ""PSWN-CC-8541050-01"", ""status"": ""P4AN-WTS-2091001-01""}, ""joint"": {""jhc"": ""9"", ""status"": ""6""}, ""size"": {""jhc"": ""2"", ""status"": ""3""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4001"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,23,,,146,1773,,,"{""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,24,P3RN-FPW-9102408-51,14,147,1774,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102408-51"", ""status"": ""P4RN-FPW-9102042-01""}, ""joint"": {""jhc"": ""14"", ""status"": ""9""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4060""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,25,P1RN-FPW-9102212-02,7,148,1775,,,"{""ident"": {""jhc"": ""P1RN-FPW-9102212-02"", ""status"": ""PSWN-CC-8541050-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""9""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4106"", ""status"": ""4001""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,26,P3RN-FPW-9102404-51,4,149,1776,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102404-51"", ""status"": ""PSWN-FPW-9102030-01""}, ""joint"": {""jhc"": ""4"", ""status"": ""2""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4068"", ""status"": ""4010""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,3,P3RN-FPW-9102409-51,9,126,1753,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102409-51"", ""status"": ""P1RN-FPW-9102213-02""}, ""joint"": {""jhc"": ""9"", ""status"": ""11""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4106""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,4,P4AN-FPW-8452057-01,10,127,1754,,,"{""ident"": {""jhc"": ""P4AN-FPW-8452057-01"", ""status"": ""P2AN-FPW-6013301-01""}, ""joint"": {""jhc"": ""10"", ""status"": ""19""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,5,P3RN-FPW-9102406-51,,128,1755,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102406-51"", ""status"": ""P3RN-CC-8541050-02""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,6,P1RN-FPW-9102213-02,11,129,1756,,,"{""ident"": {""jhc"": ""P1RN-FPW-9102213-02"", ""status"": ""P3RN-FPW-9102043-51""}, ""joint"": {""jhc"": ""11"", ""status"": ""7""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4106"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,7,P4AN-FPW-8452055-01,9,130,1757,,,"{""ident"": {""jhc"": ""P4AN-FPW-8452055-01"", ""status"": ""P3RN-FPW-9102401-51""}, ""joint"": {""jhc"": ""9"", ""status"": ""5""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,8,P3RN-FPW-9102401-51,5,131,1758,,,"{""ident"": {""jhc"": ""P3RN-FPW-9102401-51"", ""status"": ""P3RN-FPW-9102402-51""}, ""joint"": {""jhc"": ""5"", ""status"": ""4""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0102,9,P1AN-MPS-7421110-01,5,132,1759,,,"{""ident"": {""jhc"": ""P1AN-MPS-7421110-01"", ""status"": ""P3RN-FPW-9102403-51""}, ""joint"": {""jhc"": ""5"", ""status"": ""7""}, ""size"": {""jhc"": ""1.5"", ""status"": ""2""}, ""thk"": {""jhc"": ""5.08"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4054"", ""status"": ""4068""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,1,P2RN-PW-9901005-51,1,150,1777,,,"{""ident"": {""jhc"": ""P2RN-PW-9901005-51"", ""status"": ""P1RN-LPC-7531101-01""}, ""joint"": {""jhc"": ""1"", ""status"": ""4EC""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4040"", ""status"": ""4149""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,10,P3AN-VT-9701033-04,5,159,1786,,,"{""ident"": {""jhc"": ""P3AN-VT-9701033-04"", ""status"": ""P2AN-BW-2232301-01""}, ""joint"": {""jhc"": ""5"", ""status"": ""1""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,11,P1RN-PW-9901005-51,12,160,1787,,,"{""ident"": {""jhc"": ""P1RN-PW-9901005-51"", ""status"": ""P2AN-BW-2232301-01""}, ""joint"": {""jhc"": ""12"", ""status"": ""4""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4147"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,12,P4RN-PW-9101050-02,7,161,1788,,,"{""ident"": {""jhc"": ""P4RN-PW-9101050-02"", ""status"": ""P2AN-BW-2431301-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""1""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4068"", ""status"": ""4078""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,13,P2RN-PW-9901004-51,1,162,1789,,,"{""ident"": {""jhc"": ""P2RN-PW-9901004-51"", ""status"": ""P2AN-BW-2431301-01""}, ""joint"": {""jhc"": ""1"", ""status"": ""4""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4040"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,14,P2AN-BW-2232301-01,4,163,1790,,,"{""ident"": {""jhc"": ""P2AN-BW-2232301-01"", ""status"": ""P2RN-BW-9201405-51""}, ""joint"": {""jhc"": ""4"", ""status"": ""3""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,15,P3AN-VT-9701033-01,12,164,1791,,,"{""ident"": {""jhc"": ""P3AN-VT-9701033-01"", ""status"": ""P2RN-BW-9201405-51""}, ""joint"": {""jhc"": ""12"", ""status"": ""7""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4008""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,16,P3RN-VT-9701050-03,10,165,1792,,,"{""ident"": {""jhc"": ""P3RN-VT-9701050-03"", ""status"": ""P2RN-PW-9901004-51""}, ""joint"": {""jhc"": ""10"", ""status"": ""1""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4008"", ""status"": ""4040""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,17,P3AN-MPS-7421313-01,2,166,1793,,,"{""ident"": {""jhc"": ""P3AN-MPS-7421313-01"", ""status"": ""P2RN-PW-9901005-51""}, ""joint"": {""jhc"": ""2"", ""status"": ""1""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4089"", ""status"": ""4040""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,18,P3AN-VT-9701033-03,4,167,1794,,,"{""ident"": {""jhc"": ""P3AN-VT-9701033-03"", ""status"": ""P3AN-MPS-7421313-01""}, ""joint"": {""jhc"": ""4"", ""status"": ""2""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4089""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,19,P2AN-BW-2132301-01,8,168,1795,,,"{""ident"": {""jhc"": ""P2AN-BW-2132301-01"", ""status"": ""P3AN-VT-9701033-01""}, ""joint"": {""jhc"": ""8"", ""status"": ""12""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,2,P2RN-BW-9201405-51,3,151,1778,,,"{""ident"": {""jhc"": ""P2RN-BW-9201405-51"", ""status"": ""P1RN-PW-9901004-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""13""}, ""size"": {""jhc"": ""2"", ""status"": ""3""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,20,P3RN-MPC-7521050-03,8,169,1796,,,"{""ident"": {""jhc"": ""P3RN-MPC-7521050-03"", ""status"": ""P3AN-VT-9701033-03""}, ""joint"": {""jhc"": ""8"", ""status"": ""4""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4075"", ""status"": ""4076""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0103,21,P1RN-PW-9901004-01,13,170,1797,,,"{""ident"": {""jhc"": ""P1RN-PW-9901004-01"", ""status"": ""P3AN-VT-9701033-04""}, ""joint"": {""jhc"": ""13"", ""status"": ""5""}, ""size"": {""jhc"": ""3"", ""status"": ""4""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4078""}}"
