구분,Report No,S/No,Identification No,Joint No,JHC 행,Status 행,JHC Film,Status Film,차이/비고
값 불일치,SIT-K1-JHC-PIP-RT-0094,18,P2AN-CHWR-2442201-01,5EC,22,1649,,,"{""ident"": {""jhc"": ""P2AN-CHWR-2442201-01"", ""status"": ""P2RN-MPC-7521022-01""}, ""joint"": {""jhc"": ""5EC"", ""status"": ""8""}, ""size"": {""jhc"": ""3"", ""status"": ""2""}, ""thk"": {""jhc"": ""5.49"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4007"", ""status"": ""4047""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,19,P1AN-FPW-6034002-01,6,23,1650,,,"{""ident"": {""jhc"": ""P1AN-FPW-6034002-01"", ""status"": ""P3RN-MPC-7521041-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""3""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""6.02""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,2,P2AN-CHWR-3951001-01,10,6,1633,,,"{""ident"": {""jhc"": ""P2AN-CHWR-3951001-01"", ""status"": ""P1AN-CHWR-3121001-01""}, ""joint"": {""jhc"": ""10"", ""status"": ""9""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4001"", ""status"": ""4002""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,20,P0RN-FPW-8463070-01,6,24,1651,,,"{""ident"": {""jhc"": ""P0RN-FPW-8463070-01"", ""status"": ""PSWN-FPW-9102082-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""7""}, ""size"": {""jhc"": ""2"", ""status"": ""4""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""3.05""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4004"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,21,P1RN-MPC-7521011-04,9,25,1652,,,"{""ident"": {""jhc"": ""P1RN-MPC-7521011-04"", ""status"": ""PSWN-LPS-7431501-01""}, ""joint"": {""jhc"": ""9"", ""status"": ""3""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""6.02"", ""status"": ""3.91""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4007"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,22,P1AN-CHWS-7311112-01,6,26,1653,,,"{""ident"": {""jhc"": ""P1AN-CHWS-7311112-01"", ""status"": ""PSWN-MPS-7421030-01""}, ""joint"": {""jhc"": ""6"", ""status"": ""2""}, ""size"": {""jhc"": ""4"", ""status"": ""6""}, ""thk"": {""jhc"": ""6.02"", ""status"": ""7.11""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4133"", ""status"": ""4007""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,3,P2RN-CHWR-7361024-01,2FC,7,1634,,,"{""ident"": {""jhc"": ""P2RN-CHWR-7361024-01"", ""status"": ""P1AN-CHWR-3151001-01""}, ""joint"": {""jhc"": ""2FC"", ""status"": ""14""}, ""size"": {""jhc"": ""6"", ""status"": ""2""}, ""thk"": {""jhc"": ""7.11"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4040"", ""status"": ""4001""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,4,P1AN-CHWR-3151001-01,14,8,1635,,,"{""ident"": {""jhc"": ""P1AN-CHWR-3151001-01"", ""status"": ""P1AN-CHWR-3151001-02""}, ""joint"": {""jhc"": ""14"", ""status"": ""7""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4001"", ""status"": ""4011""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,5,PSWN-MPS-7421030-01,2,9,1636,,,"{""ident"": {""jhc"": ""PSWN-MPS-7421030-01"", ""status"": ""P1AN-CHWS-3151001-01""}, ""joint"": {""jhc"": ""2"", ""status"": ""15""}, ""size"": {""jhc"": ""6"", ""status"": ""2""}, ""thk"": {""jhc"": ""7.11"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4007"", ""status"": ""4010""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,6,P1AN-FPW-6032002-01,5,10,1637,,,"{""ident"": {""jhc"": ""P1AN-FPW-6032002-01"", ""status"": ""P1AN-CHWS-3151001-02""}, ""joint"": {""jhc"": ""5"", ""status"": ""3""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4076"", ""status"": ""4002""}}"
