FILE: Material_Inventory.xlsx | SHEET: Transactions | COL: Date | RANGE: 2026-04-14 17:16:26.153000 TO 2026-04-14 17:16:26.153000
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_016 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_016 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_017 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_017 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_018 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_018 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000014 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_019 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_019 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000014 TO 1970-01-01 00:00:00.000000020
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_020 | COL: Time | RANGE: 2026-02-03 14:13:00 TO 2026-02-06 11:04:00
FILE: 롯데260206_Unified_20260308_143457.xlsx | SHEET: Sheet1_020 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000015 TO 1970-01-01 00:00:00.000000020
FILE: 롯데PMI 26.02.27.xlsx | SHEET: Sheet1 | COL: Time | RANGE: 2026-02-27 10:02:00 TO 2026-02-27 13:29:00
FILE: 롯데PMI 26.02.27.xlsx | SHEET: Sheet1 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000020 TO 1970-01-01 00:00:00.000000020
FILE: 롯데PMI 26.03.03.xls | SHEET: Sheet1 | COL: Time | RANGE: 2026-03-03 09:41:00 TO 2026-03-03 09:47:00
FILE: 롯데PMI 26.03.03.xls | SHEET: Sheet1 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000020 TO 1970-01-01 00:00:00.000000020
FILE: 롯데PMI 26.03.04.xls | SHEET: Sheet1 | COL: Time | RANGE: 2026-03-04 13:16:00 TO 2026-03-04 14:38:00
FILE: 롯데PMI 26.03.04.xls | SHEET: Sheet1 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000020 TO 1970-01-01 00:00:00.000000020
FILE: 롯데PMI 26.03.05.xls | SHEET: Sheet1 | COL: Time | RANGE: 2026-03-05 09:45:00 TO 2026-03-05 14:52:00
FILE: 롯데PMI 26.03.05.xls | SHEET: Sheet1 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000020 TO 1970-01-01 00:00:00.000000020
FILE: 롯데 PMI 26.03.06.xls | SHEET: Sheet1 | COL: Time | RANGE: 2026-03-06 09:35:00 TO 2026-03-06 15:22:00
FILE: 롯데 PMI 26.03.06.xls | SHEET: Sheet1 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000020 TO 1970-01-01 00:00:00.000000020
FILE: 2026.03.27 롯데 pmi.xls | SHEET: Sheet1 | COL: Time | RANGE: 2026-03-27 10:08:00 TO 2026-03-27 11:16:00
FILE: 롯데 260409.xls | SHEET: Sheet1 | COL: Time | RANGE: 2026-04-09 10:15:00 TO 2026-04-09 10:28:00
FILE: 롯데 260409.xls | SHEET: Sheet1 | COL: Shape Time | RANGE: 1970-01-01 00:00:00.000000020 TO 1970-01-01 00:00:00.000000020
