,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
48,,,,,,,1.3,주배관,,,,,,,0,,5,주배관,A,0,,0,0,,
49,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,5,관리소,A,0,,0,0,,
50,,,,,,,1.8199999999999998,주배관,,,,,,,0,,5,주배관,A,0,,0,0,,
51,,"14""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,5,5,관리소,A,0,,0,0,A,투과두께 : 9.5mm × 2(이중벽) = 19mm
52,,,,,,,1,주배관,,,,,,,0,,5,주배관,A,0,,0,0,,
53,,,,,15mm초과~25mm이하,1.4,1.4,관리소,140,,,,,,140,,5,관리소,A,700,,700,980,,
54,,,,,,,1.4,주배관,,,,,,,0,,5,주배관,A,0,,0,0,,
55,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,5,관리소,A,0,,0,0,,
56,,,,,,,1.3,주배관,,,,,,,0,,5,주배관,A,0,,0,0,,
57,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,5,관리소,A,0,,0,0,,
58,,,,,,,1.8199999999999998,주배관,,,,,,,0,,5,주배관,A,0,,0,0,,
59,,"12""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,4,4,관리소,A,0,,0,0,A,"ㅇ투과두께
    (P7,5) 9.5mm × 2(이중벽) = 19.0mm
    (P4,3,2,0.9) 8.4mm × 2(이중벽) = 16.8mm
 "
60,,,,,,,1,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
61,,,,,15mm초과~25mm이하,1.4,1.4,관리소,22,,,,,,22,,4,관리소,A,88,,88,123,,
62,,,,,,,1.4,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
63,,,,,25mm초과~40mm이하,2.2,2.2,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
64,,,,,,,2.2,주배관,,,,,,,,,4,주배관,A,0,,0,0,,
65,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
66,,,,,,,1.3,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
67,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
68,,,,,,,1.8199999999999998,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
69,,"10""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,4,4,관리소,A,0,,0,0,A,"ㅇ투과두께
    (P7,5) 9.5mm × 2(이중벽) = 19.0mm
    (P4,3,2,0.9) 7.8mm × 2(이중벽) = 15.6mm
 "
70,,,,,,,1,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
71,,,,,15mm초과~25mm이하,1.4,1.4,관리소,147,,,,,,147,,4,관리소,A,588,,588,823,,
72,,,,,,,1.4,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
73,,,,,25mm초과~40mm이하,2.2,2.2,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
74,,,,,,,2.2,주배관,,,,,,,,,4,주배관,A,0,,0,0,,
75,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
76,,,,,,,1.3,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
77,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,4,관리소,A,0,,0,0,,
78,,,,,,,1.8199999999999998,주배관,,,,,,,0,,4,주배관,A,0,,0,0,,
79,,"8""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,3,3,관리소,A,0,,0,0,A,투과두께 : 9.5mm × 2(이중벽) = 19mm
80,,,,,,,1,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
81,,,,,15mm초과~25mm이하,1.4,1.4,관리소,26,,,,,,26,,3,관리소,A,78,,78,109,,
82,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
83,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A,0,,0,0,,
84,,,,,,,1.3,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
85,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,3,관리소,A,0,,0,0,,
86,,,,,,,1.8199999999999998,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
87,,"6""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,36,,,,,,36,3,3,관리소,A,108,,108,108,A,투과두께 : 7.1mm × 2(이중벽) = 14.2mm
88,,,,,,,1,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
89,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,3,관리소,A,0,,0,0,,
90,,,,,,,1.4,주배관,,,,,,,0,,3,주배관,A,0,,0,0,,
91,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,3,관리소,A,0,,0,0,,
