0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
산 출 명 세 서,,,,,,,,,,,,,,,,,,,
가산~가평 천연가스 공급시설 건설공사 비파괴검사 기술용역,,,,,,,,,,,,,,,,,,,
구      분,,품    목,규      격,단위 ,산출,,,비  고,,구      분,,품    목,규      격,단위 ,산출,,,비  고,
번호,비목,,,,수   량,단  가,금     액,,,번호,비목,,,,수   량,단  가,금     액,,
,,,,,,,,,,,,,,,,,,,
Ⅰ. 재료비,,,,,,,,,,,,,,,,,,,
     1. 방사선 투과검사 (RT),,,,,,,,,,,,,,,,,,,
,,소   계,,,,,31617130,,,,,소   계,,,,,213612413,,
,,적     용,,,,,31617000,,,,,적     용,,,,,213612000,,245229000
,,,,,,,,,,,,,,,,,,,
, 4) 일반검사(내부선원),,,,,,,,,, 4) 일반검사(내부선원),,,,,,,,
,,기술관리,중급기술자,MD,0,363751,0,,,,,기술관리,중급기술자,MD,0,363751,0,,
,,방사선 안전관리,초급기술자,MD,0,297437,0,,,,,방사선 안전관리,초급기술자,MD,0,297437,0,,
,,촬영작업-1,중급숙련기술자,MD,0,350319,0,,,,,촬영작업-1,중급숙련기술자,MD,0,350319,0,,
,,촬영작업-2,초급숙련기술자,MD,0,226251,0,,,,,촬영작업-2,초급숙련기술자,MD,0,226251,0,,
,,현상 및 정리,중급숙련자,MD,0,350319,0,,,,,현상 및 정리,중급숙련자,MD,0,350319,0,,
,,필름 판독,중급기술자,MD,0,363751,0,,,,,필름 판독,중급기술자,MD,0,363751,0,,
,,보고서 작성,중급숙련기술자,MD,0,350319,0,,,,,보고서 작성,중급숙련기술자,MD,0,350319,0,,
,,현장검사 조건확인,중급숙련기술자,MD,0,350319,0,,,,,현장검사 조건확인,중급숙련기술자,MD,0,350319,0,,
,,소   계,,,,,0,,,,,소   계,,,,,0,,
,,적     용,,,,,0,,,,,적     용,,,,,0,,0
, 5) 휴일검사((내부선원),,,,,,,,,, 5) 휴일검사(내부선원),,,,,,,,
,,기술관리,중급기술자,MD,0,545626.5,0,,,,,기술관리,중급기술자,MD,0,545626.5,0,,
,,방사선 안전관리,초급기술자,MD,0,446155.5,0,,,,,방사선 안전관리,초급기술자,MD,0,446155.5,0,,
,,촬영작업-1,중급숙련기술자,MD,0,525478.5,0,,,,,촬영작업-1,중급숙련기술자,MD,0,525478.5,0,,
