--- 6-3. PT ---
R2: 	6-3.	PT																
R3: 	ㅇ 산출방법 (주배관) UT물량과 동일 (관리소) 필렛용접물량에 대하여 '주간:휴일:야간'비율을 '8:1:1'로 적용																	
R4: 	 □ PT주간																	
R5: 	구경	구경 구분	구경 보정계수	대상 분야	예상용접개소(BW)							구경당  검사길이	구경당  검사길이 (숨김)	대상 분야 (숨김)	실검사길이(M)	보정계수 종합	검사보정 길이(M)	비고
R90: 				주배관							0		0.159	주배관	0	1.4	0	
R91: 	1.5	150mm이하	1.4	관리소							0	0.119	0.119	관리소	0	1.4	0	
R92: 				주배관							0		0.119	주배관	0	1.4	0	
R93: 	1	150mm이하	1.4	관리소							0	0.079	0.079	관리소	0	1.4	0	
R94: 				주배관							0		0.079	주배관	0	1.4	0	
R95: 	0.75	150mm이하	1.4	관리소							0	0.059	0.059	관리소	0	1.4	0	
R96: 				주배관							0		0.059	주배관	0	1.4	0	
R97: 	0.5	150mm이하	1.4	관리소							0	0.039	0.039	관리소	0	1.4	0	
R98: 				주배관							0		0.039	주배관	0	1.4	0	
R99: 	6	150mm초과	1.2	관리소							0	0.478	0.478	관리소	0	1.2	0	
R100: 				주배관							0		0.478	주배관	0	1.2	0	
R101: 	4	150mm이하	1.4	관리소	2						2	0.319	0.319	관리소	0.64	1.4	0.8959999999999999	
R102: 				주배관							0		0.319	주배관	0	1.4	0	
R103: 	3	150mm이하	1.4	관리소							0	0.239	0.239	관리소	0	1.4	0	
R104: 				주배관							0		0.239	주배관	0	1.4	0	
R105: 	2	150mm이하	1.4	관리소	8						8	0.159	0.159	관리소	1.27	1.4	1.7779999999999998	
R106: 				주배관							0		0.159	주배관	0	1.4		
R107: 	1 1/2"(weldolet)	150mm이하	1.4	관리소	1						1	0.119	0.119	관리소	0.12	1.4	0.5	
R108: 				주배관							0		0.119	주배관	0	1.4		
R109: 	1	150mm이하	1.4	관리소	1						1	0.079	0.079	관리소	0.08	1.4		
R110: 				주배관							0		0.079	주배관	0	1.4	0	
R111: 	계				46	0	0	0	0	0	46				56.339999999999996		68.254	
R116: 	 □ PT휴일																	
